rec_time	UTC	Dikablis Professional Wireless  (DGW18125)_Field Data_Scene cam_Original_Gaze_Gaze X	Dikablis Professional Wireless  (DGW18125)_Field Data_Scene cam_Original_Gaze_Gaze Y
00:00:02.145	1644613609637		
00:00:02.152	1644613609644		
00:00:02.161	1644613609653	701.842	654.874
00:00:02.169	1644613609661		
00:00:02.177	1644613609669	701.686	647.812
00:00:02.178	1644613609670		
00:00:02.185	1644613609677		
00:00:02.194	1644613609686	702.169	651.887
00:00:02.202	1644613609694		
00:00:02.211	1644613609703	702.263	648.582
00:00:02.212	1644613609704		
00:00:02.219	1644613609711		
00:00:02.227	1644613609719	702.092	647.041
00:00:02.235	1644613609727		
00:00:02.244	1644613609736	701.821	644.628
00:00:02.245	1644613609737		
00:00:02.252	1644613609744		
00:00:02.261	1644613609753	702.39	647.453
00:00:02.269	1644613609761		
00:00:02.277	1644613609769	707.035	646.168
00:00:02.278	1644613609770		
00:00:02.285	1644613609777		
00:00:02.294	1644613609786	707.394	644.879
00:00:02.302	1644613609794		
00:00:02.311	1644613609803	707.371	638.836
00:00:02.312	1644613609804		
00:00:02.319	1644613609811		
00:00:02.327	1644613609819	704.393	641.192
00:00:02.335	1644613609827		
00:00:02.344	1644613609836	706.451	640.789
00:00:02.345	1644613609837		
00:00:02.352	1644613609844		
00:00:02.361	1644613609853	709.218	643.899
00:00:02.369	1644613609861		
00:00:02.377	1644613609869	706.677	638.065
00:00:02.378	1644613609870		
00:00:02.385	1644613609877		
00:00:02.394	1644613609886	712.488	646.646
00:00:02.402	1644613609894		
00:00:02.411	1644613609903	710.796	641.266
00:00:02.412	1644613609904		
00:00:02.419	1644613609911		
00:00:02.427	1644613609919	713.507	645.796
00:00:02.435	1644613609927		
00:00:02.444	1644613609936	709.988	642.961
00:00:02.445	1644613609937		
00:00:02.452	1644613609944		
00:00:02.461	1644613609953	708.091	646.981
00:00:02.469	1644613609961		
00:00:02.477	1644613609969	709.095	645.353
00:00:02.478	1644613609970		
00:00:02.485	1644613609977		
00:00:02.494	1644613609986	709.181	647.849
00:00:02.502	1644613609994		
00:00:02.511	1644613610003	711.657	647.791
00:00:02.512	1644613610004		
00:00:02.519	1644613610011		
00:00:02.527	1644613610019	710.542	647.975
00:00:02.535	1644613610027		
00:00:02.544	1644613610036	707.919	649.164
00:00:02.545	1644613610037		
00:00:02.552	1644613610044		
00:00:02.561	1644613610053	710.07	647.538
00:00:02.569	1644613610061		
00:00:02.577	1644613610069	710.891	649.884
00:00:02.578	1644613610070		
00:00:02.585	1644613610077		
00:00:02.594	1644613610086	709.075	648.917
00:00:02.602	1644613610094		
00:00:02.611	1644613610103	709.295	650.601
00:00:02.612	1644613610104		
00:00:02.619	1644613610111		
00:00:02.627	1644613610119	707.057	649.607
00:00:02.635	1644613610127		
00:00:02.644	1644613610136	713.836	651.88
00:00:02.645	1644613610137		
00:00:02.652	1644613610144		
00:00:02.661	1644613610153	707.899	647.573
00:00:02.669	1644613610161		
00:00:02.677	1644613610169	705.758	648.618
00:00:02.678	1644613610170		
00:00:02.685	1644613610177		
00:00:02.694	1644613610186	707.603	650.053
00:00:02.702	1644613610194		
00:00:02.711	1644613610203	701.553	648.225
00:00:02.712	1644613610204		
00:00:02.719	1644613610211		
00:00:02.727	1644613610219	703.077	651.111
00:00:02.735	1644613610227		
00:00:02.744	1644613610236	700.907	648.528
00:00:02.745	1644613610237		
00:00:02.752	1644613610244		
00:00:02.761	1644613610253	701.783	649.592
00:00:02.769	1644613610261		
00:00:02.777	1644613610269	700.556	650.18
00:00:02.778	1644613610270		
00:00:02.785	1644613610277		
00:00:02.794	1644613610286	699.108	651.897
00:00:02.802	1644613610294		
00:00:02.811	1644613610303	699.837	654.216
00:00:02.812	1644613610304		
00:00:02.819	1644613610311		
00:00:02.827	1644613610319	693.812	656.024
00:00:02.835	1644613610327		
00:00:02.844	1644613610336	697.581	654.307
00:00:02.845	1644613610337		
00:00:02.852	1644613610344		
00:00:02.861	1644613610353	696.395	656.039
00:00:02.869	1644613610361		
00:00:02.877	1644613610369	698.881	653.991
00:00:02.878	1644613610370		
